20:56:58.101 | InvertedPendulum.py:181 | INFO | Training agent to play InvertedPendulum-v5 by REINFORCE.
20:56:58.102 | InvertedPendulum.py:182 | INFO | num_episodes:10000, discount_rate:0.99, learning_rate:0.0001, seed:1111
20:56:58.631 | InvertedPendulum.py:204 | INFO | Episode:50, Average Reward:6
20:56:59.181 | InvertedPendulum.py:204 | INFO | Episode:100, Average Reward:6
20:56:59.626 | InvertedPendulum.py:204 | INFO | Episode:150, Average Reward:7
20:57:00.155 | InvertedPendulum.py:204 | INFO | Episode:200, Average Reward:9
20:57:00.594 | InvertedPendulum.py:204 | INFO | Episode:250, Average Reward:7
20:57:01.096 | InvertedPendulum.py:204 | INFO | Episode:300, Average Reward:9
20:57:01.541 | InvertedPendulum.py:204 | INFO | Episode:350, Average Reward:7
20:57:02.024 | InvertedPendulum.py:204 | INFO | Episode:400, Average Reward:8
20:57:02.519 | InvertedPendulum.py:204 | INFO | Episode:450, Average Reward:9
20:57:03.032 | InvertedPendulum.py:204 | INFO | Episode:500, Average Reward:9
20:57:03.507 | InvertedPendulum.py:204 | INFO | Episode:550, Average Reward:8
20:57:03.977 | InvertedPendulum.py:204 | INFO | Episode:600, Average Reward:8
20:57:04.560 | InvertedPendulum.py:204 | INFO | Episode:650, Average Reward:10
20:57:05.235 | InvertedPendulum.py:204 | INFO | Episode:700, Average Reward:11
20:57:05.940 | InvertedPendulum.py:204 | INFO | Episode:750, Average Reward:12
20:57:06.565 | InvertedPendulum.py:204 | INFO | Episode:800, Average Reward:10
20:57:07.295 | InvertedPendulum.py:204 | INFO | Episode:850, Average Reward:12
20:57:08.125 | InvertedPendulum.py:204 | INFO | Episode:900, Average Reward:14
20:57:09.011 | InvertedPendulum.py:204 | INFO | Episode:950, Average Reward:16
20:57:09.974 | InvertedPendulum.py:204 | INFO | Episode:1000, Average Reward:16
20:57:10.939 | InvertedPendulum.py:204 | INFO | Episode:1050, Average Reward:18
20:57:11.907 | InvertedPendulum.py:204 | INFO | Episode:1100, Average Reward:18
20:57:13.294 | InvertedPendulum.py:204 | INFO | Episode:1150, Average Reward:26
20:57:14.594 | InvertedPendulum.py:204 | INFO | Episode:1200, Average Reward:25
20:57:16.302 | InvertedPendulum.py:204 | INFO | Episode:1250, Average Reward:29
20:57:17.990 | InvertedPendulum.py:204 | INFO | Episode:1300, Average Reward:29
20:57:19.709 | InvertedPendulum.py:204 | INFO | Episode:1350, Average Reward:32
20:57:22.337 | InvertedPendulum.py:204 | INFO | Episode:1400, Average Reward:44
20:57:24.394 | InvertedPendulum.py:204 | INFO | Episode:1450, Average Reward:38
20:57:27.101 | InvertedPendulum.py:204 | INFO | Episode:1500, Average Reward:46
20:57:30.437 | InvertedPendulum.py:204 | INFO | Episode:1550, Average Reward:55
20:57:33.600 | InvertedPendulum.py:204 | INFO | Episode:1600, Average Reward:50
20:57:36.928 | InvertedPendulum.py:204 | INFO | Episode:1650, Average Reward:58
20:57:40.155 | InvertedPendulum.py:204 | INFO | Episode:1700, Average Reward:58
20:57:44.041 | InvertedPendulum.py:204 | INFO | Episode:1750, Average Reward:69
20:57:48.390 | InvertedPendulum.py:204 | INFO | Episode:1800, Average Reward:67
20:57:52.186 | InvertedPendulum.py:204 | INFO | Episode:1850, Average Reward:67
20:57:56.089 | InvertedPendulum.py:204 | INFO | Episode:1900, Average Reward:72
20:57:59.971 | InvertedPendulum.py:204 | INFO | Episode:1950, Average Reward:75
20:58:04.563 | InvertedPendulum.py:204 | INFO | Episode:2000, Average Reward:81
20:58:08.625 | InvertedPendulum.py:204 | INFO | Episode:2050, Average Reward:78
20:58:13.285 | InvertedPendulum.py:204 | INFO | Episode:2100, Average Reward:87
20:58:18.282 | InvertedPendulum.py:204 | INFO | Episode:2150, Average Reward:88
20:58:23.367 | InvertedPendulum.py:204 | INFO | Episode:2200, Average Reward:94
20:58:28.489 | InvertedPendulum.py:204 | INFO | Episode:2250, Average Reward:94
20:58:33.851 | InvertedPendulum.py:204 | INFO | Episode:2300, Average Reward:94
20:58:39.068 | InvertedPendulum.py:204 | INFO | Episode:2350, Average Reward:96
20:58:44.162 | InvertedPendulum.py:204 | INFO | Episode:2400, Average Reward:90
20:58:50.386 | InvertedPendulum.py:204 | INFO | Episode:2450, Average Reward:104
20:58:56.183 | InvertedPendulum.py:204 | INFO | Episode:2500, Average Reward:106
20:59:02.912 | InvertedPendulum.py:204 | INFO | Episode:2550, Average Reward:120
20:59:08.862 | InvertedPendulum.py:204 | INFO | Episode:2600, Average Reward:108
20:59:15.023 | InvertedPendulum.py:204 | INFO | Episode:2650, Average Reward:112
20:59:21.308 | InvertedPendulum.py:204 | INFO | Episode:2700, Average Reward:115
20:59:28.754 | InvertedPendulum.py:204 | INFO | Episode:2750, Average Reward:138
20:59:36.029 | InvertedPendulum.py:204 | INFO | Episode:2800, Average Reward:129
20:59:43.540 | InvertedPendulum.py:204 | INFO | Episode:2850, Average Reward:137
20:59:52.235 | InvertedPendulum.py:204 | INFO | Episode:2900, Average Reward:148
21:00:01.193 | InvertedPendulum.py:204 | INFO | Episode:2950, Average Reward:162
