11:54:28.101 | InvertedPendulum.py:190 | INFO | Training agent to play InvertedPendulum-v5 by REINFORCE.
11:54:28.102 | InvertedPendulum.py:191 | INFO | num_episodes:10000, discount_rate:0.99, learning_rate:0.0001, seed:1111
11:54:28.244 | InvertedPendulum.py:213 | INFO | Episode:50, Average Reward:7
11:54:28.355 | InvertedPendulum.py:213 | INFO | Episode:100, Average Reward:6
11:54:28.476 | InvertedPendulum.py:213 | INFO | Episode:150, Average Reward:7
11:54:28.611 | InvertedPendulum.py:213 | INFO | Episode:200, Average Reward:8
11:54:28.743 | InvertedPendulum.py:213 | INFO | Episode:250, Average Reward:8
11:54:28.863 | InvertedPendulum.py:213 | INFO | Episode:300, Average Reward:7
11:54:28.999 | InvertedPendulum.py:213 | INFO | Episode:350, Average Reward:8
11:54:29.138 | InvertedPendulum.py:213 | INFO | Episode:400, Average Reward:8
11:54:29.274 | InvertedPendulum.py:213 | INFO | Episode:450, Average Reward:9
11:54:29.409 | InvertedPendulum.py:213 | INFO | Episode:500, Average Reward:8
11:54:29.571 | InvertedPendulum.py:213 | INFO | Episode:550, Average Reward:10
11:54:29.734 | InvertedPendulum.py:213 | INFO | Episode:600, Average Reward:9
11:54:29.898 | InvertedPendulum.py:213 | INFO | Episode:650, Average Reward:10
11:54:30.059 | InvertedPendulum.py:213 | INFO | Episode:700, Average Reward:10
11:54:30.198 | InvertedPendulum.py:213 | INFO | Episode:750, Average Reward:8
11:54:30.342 | InvertedPendulum.py:213 | INFO | Episode:800, Average Reward:8
11:54:30.498 | InvertedPendulum.py:213 | INFO | Episode:850, Average Reward:9
11:54:30.658 | InvertedPendulum.py:213 | INFO | Episode:900, Average Reward:9
11:54:30.917 | InvertedPendulum.py:213 | INFO | Episode:950, Average Reward:11
11:54:31.099 | InvertedPendulum.py:213 | INFO | Episode:1000, Average Reward:10
11:54:31.292 | InvertedPendulum.py:213 | INFO | Episode:1050, Average Reward:12
11:54:31.458 | InvertedPendulum.py:213 | INFO | Episode:1100, Average Reward:10
11:54:31.613 | InvertedPendulum.py:213 | INFO | Episode:1150, Average Reward:10
11:54:31.830 | InvertedPendulum.py:213 | INFO | Episode:1200, Average Reward:15
11:54:32.024 | InvertedPendulum.py:213 | INFO | Episode:1250, Average Reward:12
11:54:32.276 | InvertedPendulum.py:213 | INFO | Episode:1300, Average Reward:15
11:54:32.576 | InvertedPendulum.py:213 | INFO | Episode:1350, Average Reward:19
11:54:32.848 | InvertedPendulum.py:213 | INFO | Episode:1400, Average Reward:18
11:54:33.167 | InvertedPendulum.py:213 | INFO | Episode:1450, Average Reward:22
11:54:33.518 | InvertedPendulum.py:213 | INFO | Episode:1500, Average Reward:24
11:54:33.892 | InvertedPendulum.py:213 | INFO | Episode:1550, Average Reward:25
11:54:34.318 | InvertedPendulum.py:213 | INFO | Episode:1600, Average Reward:29
11:54:34.786 | InvertedPendulum.py:213 | INFO | Episode:1650, Average Reward:31
11:54:35.379 | InvertedPendulum.py:213 | INFO | Episode:1700, Average Reward:42
11:54:35.894 | InvertedPendulum.py:213 | INFO | Episode:1750, Average Reward:38
11:54:36.482 | InvertedPendulum.py:213 | INFO | Episode:1800, Average Reward:41
